BoreholeID,GeologyID,DepthTop,DepthBase
BH-244,FILL,0,0.08
BH-234,TTC-G3N,0.63,3.05
BH-233,TTC-G4,4.27,15.24
BH-232,TTC-G3N,8.69,14.78
BH-230,TTC-G4,5.07,9.99
BH-228,FILL,1.52,3.81
BH-226,TTC-G3N,2.7,4.57
BH-223,TTC-G3N,1.52,5.6
BH-222,TTC-G3N,33,43.7
BH-222,TTC-G3N,11.7,22.3
BH-222,TTC-G3N,23.9,33
BH-222,TTC-G3N,9.3,11.7
BH-217,TTC-G4,46.8,49.8
BH-217,TTC-G3N,35.2,45.3
BH-216,TTC-G3N,16.3,30
BH-216,TTC-G3N,10.2,16.3
BH-217,TTC-G3N,8.7,31.55
BH-216,TTC-G3N,33.1,46.8
BH-213,TTC-G3N,2.29,4.3
BH-213,TTC-G3N,33.1,42.2
BH-213,TTC-G3N,8.7,14.6
BH-211,TTC-G3N,1.52,4.57
BH-208,TTC-G2,33,34.4
BH-208,TTC-G2,36.1,39.17
BH-203,TTC-G3N,2.29,10.21
BH-203,FILL,0.08,2.29
BH-195,TTC-G4,1.52,4.57
BH-195,FILL,0.31,1.52
BH-192,TTC-G4,45.3,46.8
BH-192,TTC-G3N,3.05,3.81
BH-190,TTC-G4,31.5,39.2
BH-187,TTC-G4,2.21,9.4
BH-186,TTC-G4,30.1,37.6
BH-180,TTC-G4,23.89,34.57
BH-178,TTC-G3N,32.8,40.2
BH-177,TTC-G4,2.29,3.05
BH-171,FILL,0,2.97
BH-172,TTC-G4,52.88,57.45
BH-165,TTC-G4,29.91,34.34
BH-164,TTC-G3N,1.98,10.95
BH-157,TTC-G3N,1.45,4.5
BH-151,TTC-G4,5.26,11.73
BH-148,TTC-G4,17.65,25.36
BH-147,TTC-G4,11.55,14.58
BH-147,TTC-G4,3.05,5.26
BH-142,TTC-G4,0.72,2.21
BH-140,TTC-G3N,7.16,14.79
BH-140,TTC-G3N,3.81,7.16
BH-140,FILL,0.3,2.44
BH-141,TTC-G3N,1.45,8.69
BH-136,TTC-G3N,2.21,7.16
BH-136,TTC-G3N,7.16,16.31
BH-137,TTC-G4,22.41,27
BH-135,TTC-G4,22.41,37.66
BH-135,TTC-G4,14.79,19.36
BH-134,TTC-G4,48.31,49.83
BH-134,TTC-G3N,3.81,10.21
BH-133,TTC-G4,45.26,49.83
BH-133,TTC-G4,43.74,45.26
BH-127,TTC-G3N,3.05,5.64
BH-126,TTC-G3N,5.64,16.31
BH-126,TTC-G4,23.93,36.13
BH-125,TTC-G3N,3.05,17.83
BH-126,TTC-G3N,3.81,5.64
BH-121,TTC-G3N,1.22,6.1
BH-119,TTC-G4,30.02,32.92
BH-119,TTC-G4,19.35,26.97
BH-116,TTC-G3N,17.8,27
BH-116,TTC-G4,13.2,16.3
BH-113,TTC-G4,33.07,37.64
BH-111,TTC-G4,7.16,8.69
BH-105,TTC-G3N,4.5,5.64
BH-104,TTC-G4,52.88,60.5
BH-101,TTC-G4,34.44,37.64
BH-100,FILL,2.29,4.78
BH-098,TTC-G4,11.73,19.13
BH-095,TTC-G4,2.21,25.45
BH-090,TTC-G4,52.64,58.89
BH-088,TTC-G4,16.31,21
BH-087,TTC-G4,13.3,14.8
BH-079,TTC-G4,28.5,30.02
BH-078,TTC-G4,44.3,50.57
BH-078,TTC-G3N,2.59,5.64
BH-078,TTC-G4,22.4,23.93
BH-076,TTC-G5,22.92,24.99
BH-072,TTC-G4,48.77,53.34
BH-037,TTC-G4,11.73,14.78
BH-027,TTC-G2,28.3,31.39
BH-031,TTC-G4,30.02,31.09
BH-054,TTC-G2,14.78,20.73
BH-053,TTC-G2,17.22,20
BH-053,TTC-G2,20,21.61
BH-072,TTC-G2,42.67,48.77
BH-072,TTC-G2,6.1,12.19
BH-069,TTC-G2,20.88,25.45
BH-062,TTC-G2,16.21,20.69
BH-061,TTC-G2,5.64,8.61
BH-061,TTC-G2,23.77,25.22
BH-061,TTC-G2,20.73,22.33
BH-061,TTC-G2,2.21,3.74
BH-060,TTC-G2,17.68,20.65
BH-059,TTC-G2,18.49,25.3
BH-075,TTC-G2,40.69,49.83
BH-075,TTC-G2,8.69,10.21
BH-075,TTC-G2,17.83,20.88
BH-075,TTC-G2,13.26,14.78
BH-078,TTC-G2,37.64,42.82
BH-079,TTC-G2,14.78,17.83
BH-080,TTC-G2,14.78,19.35
BH-079,TTC-G2,45.26,50.42
BH-080,TTC-G2,25.45,28.5
BH-082,TTC-G2,45.26,45.85
BH-082,TTC-G2,32.92,34.44
BH-086,TTC-G2,46.79,54.24
BH-086,TTC-G2,19.2,28.42
BH-085,TTC-G2,37.64,40
BH-085,TTC-G2,16,17.8
BH-085,TTC-G2,40,50.65
BH-088,TTC-G2,13.26,16.31
BH-095,TTC-G2,46.79,54.33
BH-094,TTC-G2,43.66,58.98
BH-093,TTC-G2,36.1,41.26
BH-092,TTC-G2,31.55,43.74
BH-092,ALLUVIUM,1.45,2.21
BH-098,TTC-G2,48.31,51.18
BH-101,TTC-G2,14.63,23.93
BH-104,TTC-G2,48.01,51.21
BH-109,TTC-G2,17.83,19.35
BH-108,TTC-G2,14.78,23.93
BH-108,TTC-G2,46.79,52.64
BH-109,TTC-G2,25.45,28.5
BH-111,TTC-G2,14.78,17.83
BH-109,TTC-G2,40.69,48.31
BH-110,TTC-G2,17.83,22.4
BH-112,TTC-G2,26.97,34.59
BH-113,TTC-G2,19.35,26.97
BH-114,TTC-G2,10.21,19.35
BH-115,TTC-G2,20.88,23.93
BH-116,TTC-G4,27,31.5
BH-117,TTC-G2,19.35,26.97
BH-118,TTC-G2,48.31,58.98
BH-119,TTC-G1,13.26,19.35
BH-119,TTC-G2,11.73,13.26
BH-120,TTC-G2,10.2,13.3
BH-121,TTC-G2,25.15,37.35
BH-122,TTC-G1,16.31,19.35
BH-124,TTC-G2,16.4,17.84
BH-125,TTC-G2,48.31,55.93
BH-126,TTC-G2,19.36,23.93
BH-126,TTC-G2,48.33,54.42
BH-127,TTC-G2,31.55,34.6
BH-129,TTC-G2,4.5,11.73
BH-129,TTC-G2,36.12,45.26
BH-133,TTC-G2,34.59,43.74
BH-134,TTC-G2,49.83,55.93
BH-137,TTC-G2,14.79,16.31
BH-137,TTC-G2,27,33
BH-136,TTC-G2,49.68,59.89
BH-137,TTC-G2,49.85,58.7
BH-140,TTC-G2,14.79,22.41
BH-142,TTC-G2,43.74,48.08
BH-142,TTC-G2,5.55,13.08
BH-143,TTC-G2,17.37,33.32
BH-144,TTC-G2,24.38,35.87
BH-143,TTC-G2,43.21,54.86
BH-144,TTC-G2,45.29,59.44
